Drug1,Drug2,Interaction
diuretics,nonsteroidal antiinflammatories,0
cardiac glycosides,calcium channel blockers,0
cardiac glycosides,analgesics,0
cardiac glycosides,antipyretics,0
cardiac glycosides,nonsteroidal antiinflammatories,0
cardiac glycosides,corticosteroids,0
calcium channel blockers,analgesics,0
calcium channel blockers,antipyretics,0
calcium channel blockers,nonsteroidal antiinflammatories,0
calcium channel blockers,corticosteroids,0
analgesics,antipyretics,0
analgesics,nonsteroidal antiinflammatories,0
analgesics,corticosteroids,0
antipyretics,nonsteroidal antiinflammatories,0
antipyretics,corticosteroids,0
nonsteroidal antiinflammatories,corticosteroids,0
iloprost,digoxin,0
Acetylsalicylic acid,iloprost,0
RAPTIVA,immunosuppressive drugs,1
Acellular vaccines,live vaccines,0
Acellular vaccines,live-attenuated vaccines,0
Acellular vaccines,RAPTIVA,1
live vaccines,live-attenuated vaccines,0
live vaccines,RAPTIVA,1
live-attenuated vaccines,RAPTIVA,1
Mineral oil,fat-soluble vitamins,1
Mineral oil,vitamin D preparations,1
fat-soluble vitamins,vitamin D preparations,0
thiazide diuretics,ergocalciferol,1
Netilmicin,loop diuretics,1
Netilmicin,furosemide,1
Netilmicin,ethacrynic acid,1
loop diuretics,furosemide,0
loop diuretics,ethacrynic acid,0
furosemide,ethacrynic acid,0
levothyroxine,iodine,0
levothyroxine,antacids,0
levothyroxine,H2-antagonists,0
levothyroxine,famotidine,0
levothyroxine,ranitidine,0
levothyroxine,proton pump inhibitors,0
levothyroxine,lansoprazole,0
levothyroxine,omeprazole,0
iodine,antacids,0
iodine,H2-antagonists,0
iodine,famotidine,0
iodine,ranitidine,0
iodine,proton pump inhibitors,0
iodine,lansoprazole,0
iodine,omeprazole,0
antacids,H2-antagonists,0
antacids,proton pump inhibitors,0
antacids,omeprazole,0
H2-antagonists,famotidine,0
H2-antagonists,ranitidine,0
H2-antagonists,proton pump inhibitors,0
H2-antagonists,lansoprazole,0
H2-antagonists,omeprazole,0
famotidine,ranitidine,0
famotidine,proton pump inhibitors,0
famotidine,lansoprazole,0
famotidine,omeprazole,0
ranitidine,proton pump inhibitors,0
ranitidine,lansoprazole,0
ranitidine,omeprazole,0
proton pump inhibitors,lansoprazole,0
proton pump inhibitors,omeprazole,0
Bentiromide,acetaminophen,1
Bentiromide,Tylenol,1
Bentiromide,chloramphenicol,1
Bentiromide,Chloromycetin,1
Bentiromide,anesthetics,1
Bentiromide,benzocaine,1
Bentiromide,lidocaine,1
Bentiromide,para-aminobenzoic acid,1
Bentiromide,PABA,1
Bentiromide,multivitamins,1
Bentiromide,procainamide,1
Bentiromide,Pronestyl,1
Bentiromide,sulfonamides,1
Bentiromide,thiazide diuretics,1
acetaminophen,chloramphenicol,0
acetaminophen,Chloromycetin,0
acetaminophen,benzocaine,0
acetaminophen,lidocaine,0
acetaminophen,para-aminobenzoic acid,0
acetaminophen,PABA,0
acetaminophen,multivitamins,0
acetaminophen,procainamide,0
acetaminophen,Pronestyl,0
acetaminophen,sulfonamides,0
acetaminophen,thiazide diuretics,0
Tylenol,chloramphenicol,0
Tylenol,Chloromycetin,0
Tylenol,anesthetics,0
Tylenol,benzocaine,0
Tylenol,lidocaine,0
Tylenol,para-aminobenzoic acid,0
Tylenol,PABA,0
Tylenol,multivitamins,0
Tylenol,procainamide,0
Tylenol,Pronestyl,0
Tylenol,sulfonamides,0
Tylenol,thiazide diuretics,0
chloramphenicol,Chloromycetin,0
chloramphenicol,anesthetics,0
chloramphenicol,benzocaine,0
chloramphenicol,lidocaine,0
chloramphenicol,para-aminobenzoic acid,0
chloramphenicol,PABA,0
chloramphenicol,multivitamins,0
chloramphenicol,procainamide,0
chloramphenicol,Pronestyl,0
chloramphenicol,sulfonamides,0
chloramphenicol,thiazide diuretics,0
Chloromycetin,anesthetics,0
Chloromycetin,benzocaine,0
Chloromycetin,lidocaine,0
Chloromycetin,para-aminobenzoic acid,0
Chloromycetin,PABA,0
Chloromycetin,multivitamins,0
Chloromycetin,procainamide,0
Chloromycetin,Pronestyl,0
Chloromycetin,sulfonamides,0
Chloromycetin,thiazide diuretics,0
anesthetics,benzocaine,0
anesthetics,lidocaine,0
anesthetics,para-aminobenzoic acid,0
anesthetics,PABA,0
anesthetics,multivitamins,0
anesthetics,Pronestyl,0
anesthetics,thiazide diuretics,0
benzocaine,lidocaine,0
benzocaine,para-aminobenzoic acid,0
benzocaine,PABA,0
benzocaine,multivitamins,0
benzocaine,procainamide,0
benzocaine,Pronestyl,0
benzocaine,sulfonamides,0
benzocaine,thiazide diuretics,0
lidocaine,para-aminobenzoic acid,0
lidocaine,PABA,0
lidocaine,multivitamins,0
lidocaine,procainamide,0
lidocaine,Pronestyl,0
lidocaine,sulfonamides,0
lidocaine,thiazide diuretics,0
para-aminobenzoic acid,PABA,0
para-aminobenzoic acid,multivitamins,0
para-aminobenzoic acid,procainamide,0
para-aminobenzoic acid,Pronestyl,0
para-aminobenzoic acid,sulfonamides,0
para-aminobenzoic acid,thiazide diuretics,0
PABA,multivitamins,0
PABA,procainamide,0
PABA,Pronestyl,0
PABA,sulfonamides,0
PABA,thiazide diuretics,0
multivitamins,procainamide,0
multivitamins,Pronestyl,0
multivitamins,sulfonamides,0
multivitamins,thiazide diuretics,0
procainamide,Pronestyl,0
procainamide,sulfonamides,0
procainamide,thiazide diuretics,0
Pronestyl,sulfonamides,0
Pronestyl,thiazide diuretics,0
sulfonamides,thiazide diuretics,0
amiloride,angiotensin-converting enzyme inhibitor,1
MIDAMOR,non-steroidal anti-inflammatory agents,1
MIDAMOR,diuretic,0
indomethacin,potassium-sparing diuretics,1
indomethacin,MIDAMOR,1
potassium-sparing diuretics,MIDAMOR,0
bumetanide,aminoglycoside antibiotics,1
Lithium,bumetanide,1
diuretics,bumetanide,0
bumetanide,lithium,0
probenecid,bumetanide,1
bumetanide,bumetanide,0
Indomethacin,Indomethacin,0
Indomethacin,bumetanide,1
Antihypertensives,Bumetanide,0
Antihypertensives,antihypertensive drugs,0
Bumetanide,antihypertensive drugs,1
Anticoagulants,bumetanide,0
bumetanide,warfarin,0
glyburide,ciprofloxacin,1
glyburide,fluoroquinolone antibiotic,0
ciprofloxacin,fluoroquinolone antibiotic,0
fluoroquinolone antibiotic,glyburide,0
Metformin,glyburide,0
anticoagulants,chlordiazepoxide,1
Azlocillin,amikacin,1
Azlocillin,ciprofloxacin,1
Azlocillin,gentamicin,1
Azlocillin,netilmicin,1
Azlocillin,tobramycin,1
amikacin,ciprofloxacin,0
amikacin,gentamicin,0
amikacin,netilmicin,0
amikacin,tobramycin,0
ciprofloxacin,gentamicin,0
ciprofloxacin,netilmicin,0
ciprofloxacin,tobramycin,0
gentamicin,netilmicin,0
gentamicin,tobramycin,0
netilmicin,tobramycin,0
ZEBETA,beta-blocking agents,1
reserpine,guanethidine,0
reserpine,ZEBETA,1
guanethidine,ZEBETA,1
clonidine,ZEBETA,0
ZEBETA,clonidine,1
ZEBETA,myocardial depressants,1
ZEBETA,calcium antagonists,1
ZEBETA,phenylalkylamine,1
ZEBETA,verapamil,1
ZEBETA,benzothiazepine,1
ZEBETA,diltiazem,1
ZEBETA,antiarrhythmic agents,1
ZEBETA,disopyramide,1
myocardial depressants,calcium antagonists,0
myocardial depressants,phenylalkylamine,0
myocardial depressants,verapamil,0
myocardial depressants,benzothiazepine,0
myocardial depressants,diltiazem,0
myocardial depressants,antiarrhythmic agents,0
myocardial depressants,disopyramide,0
calcium antagonists,phenylalkylamine,0
calcium antagonists,verapamil,0
calcium antagonists,benzothiazepine,0
calcium antagonists,diltiazem,0
calcium antagonists,antiarrhythmic agents,0
calcium antagonists,disopyramide,0
phenylalkylamine,verapamil,0
phenylalkylamine,benzothiazepine,0
phenylalkylamine,diltiazem,0
phenylalkylamine,antiarrhythmic agents,0
phenylalkylamine,disopyramide,0
verapamil,benzothiazepine,0
verapamil,antiarrhythmic agents,0
benzothiazepine,diltiazem,0
benzothiazepine,antiarrhythmic agents,0
benzothiazepine,disopyramide,0
diltiazem,antiarrhythmic agents,0
diltiazem,disopyramide,0
antiarrhythmic agents,disopyramide,0
rifampin,ZEBETA,0
ZEBETA,ZEBETA,0
thiazide diuretics,digoxin,0
thiazide diuretics,cimetidine,0
ZEBETA,warfarin,0
anticonvulsant medications,phenytoin,0
anticonvulsant medications,primidone,0
anticonvulsant medications,metformin,0
anticonvulsant medications,sulfasalazine,0
anticonvulsant medications,triamterene,0
anticonvulsant medications,diuretic,0
anticonvulsant medications,Methotrexate,0
anticonvulsant medications,vitamin B12,0
anticonvulsant medications,folic acid,0
phenytoin,sulfasalazine,0
phenytoin,triamterene,0
phenytoin,diuretic,0
phenytoin,Methotrexate,0
phenytoin,vitamin B12,0
phenytoin,folic acid,0
primidone,metformin,0
primidone,sulfasalazine,0
primidone,triamterene,0
primidone,diuretic,0
primidone,Methotrexate,0
primidone,vitamin B12,0
primidone,folic acid,0
metformin,sulfasalazine,0
metformin,triamterene,0
metformin,diuretic,0
metformin,Methotrexate,0
metformin,vitamin B12,0
metformin,folic acid,0
sulfasalazine,triamterene,0
sulfasalazine,diuretic,0
sulfasalazine,Methotrexate,0
sulfasalazine,vitamin B12,0
sulfasalazine,folic acid,0
triamterene,diuretic,0
triamterene,Methotrexate,0
triamterene,vitamin B12,0
triamterene,folic acid,0
diuretic,Methotrexate,0
diuretic,vitamin B12,0
diuretic,folic acid,0
Methotrexate,vitamin B12,0
Methotrexate,folic acid,0
vitamin B12,folic acid,1
folic acid,folic acid,0
folic acid,vitamin B12,0
nicotine,tricyclic antidepressants,0
nicotine,theophylline,0
Antacids,magnesium trisilicate,0
Antacids,nitrofurantoin,0
magnesium trisilicate,nitrofurantoin,1
nitrofurantoin,magnesium trisilicate,1
Uricosuric drugs,probenecid,0
Uricosuric drugs,sulfinpyrazone,0
Uricosuric drugs,nitrofurantoin,1
probenecid,sulfinpyrazone,0
probenecid,nitrofurantoin,1
sulfinpyrazone,nitrofurantoin,1
nitrofurantoin,antibacterial,0
psychotropic drugs,narcotics,0
psychotropic drugs,analgesics,0
psychotropic drugs,antiemetics,0
psychotropic drugs,sedatives,0
psychotropic drugs,tranquilizers,0
narcotics,analgesics,0
narcotics,antiemetics,0
narcotics,sedatives,0
narcotics,tranquilizers,0
analgesics,antiemetics,0
analgesics,sedatives,0
analgesics,tranquilizers,0
antiemetics,sedatives,0
antiemetics,tranquilizers,0
aminoglycosides,indomethacin,0
aminoglycosides,cytotoxic,0
aminoglycosides,doxorubicin,0
aminoglycosides,methotrexate,0
aminoglycosides,asparaginase,0
aminoglycosides,PROLEUKIN,1
indomethacin,cytotoxic,0
indomethacin,doxorubicin,0
indomethacin,methotrexate,0
indomethacin,asparaginase,0
indomethacin,PROLEUKIN,1
cytotoxic,doxorubicin,0
cytotoxic,methotrexate,0
cytotoxic,asparaginase,0
cytotoxic,PROLEUKIN,1
doxorubicin,methotrexate,0
doxorubicin,asparaginase,0
doxorubicin,PROLEUKIN,1
methotrexate,asparaginase,0
methotrexate,PROLEUKIN,1
asparaginase,PROLEUKIN,1
PROLEUKIN,antineoplastic agents,1
PROLEUKIN,dacarbazine,1
PROLEUKIN,cis-platinum,1
PROLEUKIN,tamoxifen,1
PROLEUKIN,interferon-alfa,1
antineoplastic agents,dacarbazine,0
antineoplastic agents,cis-platinum,0
antineoplastic agents,tamoxifen,0
antineoplastic agents,interferon-alfa,0
dacarbazine,cis-platinum,0
dacarbazine,tamoxifen,0
dacarbazine,interferon-alfa,0
cis-platinum,tamoxifen,0
cis-platinum,interferon-alfa,0
tamoxifen,interferon-alfa,0
interferon-alfa,PROLEUKIN,1
glucocorticoids,PROLEUKIN,0
glucocorticoids,Beta-blockers,0
glucocorticoids,antihypertensives,0
PROLEUKIN,PROLEUKIN,0
PROLEUKIN,Beta-blockers,0
PROLEUKIN,antihypertensives,0
Beta-blockers,antihypertensives,0
Beta-blockers,PROLEUKIN,1
antihypertensives,PROLEUKIN,1
Iodinated Contrast Media,interleukin-2,0
Iodinated Contrast Media,radiographic iodinated contrast media,0
interleukin-2,radiographic iodinated contrast media,1
Xigris,Xigris,0
heparin,unfractionated heparin,0
heparin,low molecular weight heparins,0
unfractionated heparin,low molecular weight heparins,0
heparin,Xigris,0
Rebif,Rebif,0
Cevimeline,beta adrenergic antagonists,1
Aminosalicylic acid,digoxin,1
Aminosalicylic acid,Lanoxin,1
Aminosalicylic acid,Lanoxicaps,0
digoxin,Lanoxin,0
digoxin,Lanoxicaps,0
Lanoxin,Lanoxicaps,0
digoxin,aminosalicylic acid,1
aminosalicylic acid,digoxin,0
Aminosalicylic acid,vitamin B12,1
vitamin B12,aminosalicylic acid,1
Campath,antibodies,0
PROSTIN E2,oxytocic drugs,1
Thiazides,calcium,0
cholestyramine,thiazide diuretics,1
cholestyramine,diuretic,0
colestipol,thiazide diuretics,1
colestipol,diuretic,0
thiazide diuretics,diuretic,0
CNS depressant drugs,barbiturates,0
CNS depressant drugs,tranquilizers,0
CNS depressant drugs,opioids,0
CNS depressant drugs,anesthetics,0
CNS depressant drugs,INAPSINE,1
barbiturates,INAPSINE,1
tranquilizers,INAPSINE,1
opioids,INAPSINE,1
anesthetics,INAPSINE,1
INAPSINE,CNS depressant drugs,1
Isoproterenol hydrochloride,epinephrine,1
ISUPREL,anesthetics,1
ISUPREL,halothane,1
ISUPREL,sympathomimetic amines,0
anesthetics,halothane,0
anesthetics,sympathomimetic amines,0
halothane,sympathomimetic amines,0
progestin,anticonvulsants,0
progestin,phenytoin,1
progestin,carbamazepine,1
progestin,barbiturates,1
progestin,antituberculosis drug,0
progestin,rifampin,1
anticonvulsants,phenytoin,0
anticonvulsants,carbamazepine,0
anticonvulsants,barbiturates,0
anticonvulsants,antituberculosis drug,0
phenytoin,barbiturates,0
phenytoin,antituberculosis drug,0
carbamazepine,antituberculosis drug,0
barbiturates,antituberculosis drug,0
antituberculosis drug,rifampin,0
FACTIVE,theophylline,0
FACTIVE,digoxin,0
FACTIVE,ethinylestradiol,0
FACTIVE,contraceptive product,0
theophylline,digoxin,0
theophylline,ethinylestradiol,0
theophylline,contraceptive product,0
digoxin,ethinylestradiol,0
digoxin,contraceptive product,0
ethinylestradiol,contraceptive product,0
FACTIVE,calcium carbonate,1
FACTIVE,cimetidine,1
FACTIVE,omeprazole,1
FACTIVE,estrogen,1
FACTIVE,progesterone,1
FACTIVE,contraceptive,1
FACTIVE,gemifloxacin,0
calcium carbonate,cimetidine,0
calcium carbonate,omeprazole,0
calcium carbonate,estrogen,0
calcium carbonate,progesterone,0
calcium carbonate,contraceptive,0
calcium carbonate,gemifloxacin,0
cimetidine,omeprazole,0
cimetidine,estrogen,0
cimetidine,progesterone,0
cimetidine,contraceptive,0
cimetidine,gemifloxacin,0
omeprazole,estrogen,0
omeprazole,progesterone,0
omeprazole,contraceptive,0
omeprazole,gemifloxacin,0
estrogen,progesterone,0
estrogen,contraceptive,0
estrogen,gemifloxacin,0
progesterone,contraceptive,0
progesterone,gemifloxacin,0
contraceptive,gemifloxacin,0
FACTIVE,probenecid,1
probenecid,gemifloxacin,0
FACTIVE,warfarin,0
gemifloxacin,antacid,0
gemifloxacin,aluminum,1
gemifloxacin,magnesium,1
antacid,aluminum,0
antacid,magnesium,0
Magnesium,ferrous sulfate,0
Magnesium,iron,0
Magnesium,multivitamin preparations,0
Magnesium,zinc,0
Magnesium,Videx,0
Magnesium,didanosine,0
Magnesium,FACTIVE,1
aluminum,ferrous sulfate,0
aluminum,multivitamin preparations,0
aluminum,Videx,0
aluminum,FACTIVE,1
antacids,ferrous sulfate,0
antacids,multivitamin preparations,0
antacids,Videx,0
antacids,FACTIVE,0
ferrous sulfate,iron,0
ferrous sulfate,multivitamin preparations,0
ferrous sulfate,zinc,0
ferrous sulfate,Videx,0
ferrous sulfate,didanosine,0
ferrous sulfate,FACTIVE,1
iron,multivitamin preparations,0
iron,FACTIVE,1
multivitamin preparations,zinc,0
multivitamin preparations,Videx,0
multivitamin preparations,didanosine,0
multivitamin preparations,FACTIVE,1
zinc,FACTIVE,1
Videx,FACTIVE,1
didanosine,FACTIVE,1
Sucralfate,FACTIVE,1
Steroids,edetate calcium disodium,1
Steroids,Edetate calcium disodium,0
Steroids,zinc insulin,0
Steroids,zinc,0
edetate calcium disodium,Edetate calcium disodium,0
edetate calcium disodium,zinc insulin,0
edetate calcium disodium,zinc,0
Edetate calcium disodium,zinc insulin,1
Edetate calcium disodium,zinc,0
zinc insulin,zinc,0
Antihypertensive medications,diazoxide,0
Antihypertensive medications,anesthetic,0
Antihypertensive medications,skeletal-muscle relaxants,0
diazoxide,anesthetic,0
diazoxide,skeletal-muscle relaxants,0
anesthetic,skeletal-muscle relaxants,0
Amphotericin B,Corticosteroids,0
Amphotericin B,Corticotropin,0
Amphotericin B,ACTH,0
hypoglycemic medications,thiazide diuretic,1
thiazide diuretics,lithium,0
steroidal anti-inflammatory agent,loop diuretics,1
steroidal anti-inflammatory agent,potassium sparing diuretics,1
steroidal anti-inflammatory agent,thiazide diuretics,1
loop diuretics,potassium sparing diuretics,0
potassium sparing diuretics,thiazide diuretics,0
hydroflumethiazide,nonsteroidal anti-inflammatory agents,1
hydroflumethiazide,diuretic,0
nonsteroidal anti-inflammatory agents,diuretic,0
Thiazides,norepinephrine,1
Thiazide drugs,tubocurarine,1
Warfarin,daptomycin,0
daptomycin,warfarin,0
HMG-CoA Reductase Inhibitors,Inhibitors of HMG-CoA reductase,0
simvastatin,daptomycin,0
HMG-CoA reductase inhibitors,Fentanyl,1
Fentanyl,HMG-CoA reductase inhibitors,0
Fentanyl,Fentanyl,0
Acetaminophen,methotrexate,0
Acetaminophen,L-methionine,0
methotrexate,L-methionine,0
methotrexate,acetaminophen,0
L-methionine,acetaminophen,1
L-methionine,methotrexate,1
Gentamicin,Methionine,0
Gentamicin,gentamicin,0
Methionine,gentamicin,1
BETAGAN,BETAGAN,0
BETAGAN,epinephrine,1
beta-adrenergic blocking agents,calcium antagonists,1
beta-adrenergic blocking agents,digitalis,1
digitalis,calcium antagonist,0
Phenothiazine-related compounds,beta-adrenergic blocking agents,1
warfarin,IRESSA,1
ketoconazole,gefitinib,1
itraconazole,gefitinib,1
gefitinib,gefitinib,0
histamine H2-receptor antagonists,ranitidine,0
histamine H2-receptor antagonists,cimetidine,0
histamine H2-receptor antagonists,IRESSA,1
ranitidine,IRESSA,1
cimetidine,IRESSA,1
IRESSA,vinorelbine,1
IRESSA,IRESSA,0
vinorelbine,IRESSA,0
vinorelbine,vinorelbine,0
loxapine,lorazepam,1
imatinib,imatinib,0
imatinib,Gleevec,0
imatinib,ketoconazole,0
imatinib,itraconazole,0
imatinib,erythromycin,0
imatinib,clarithromycin,0
Gleevec,ketoconazole,1
Gleevec,itraconazole,1
Gleevec,erythromycin,1
Gleevec,clarithromycin,1
dexamethasone,phenytoin,0
dexamethasone,rifampin,0
dexamethasone,phenobarbital,0
rifampin,Gleevec,0
Gleevec,Gleevec,0
Gleevec,simvastatin,1
simvastatin,Gleevec,0
Gleevec,cyclosporine,1
Gleevec,pimozide,1
Gleevec,benzodiazepines,1
Gleevec,dihydropyridine calcium channel blockers,1
Gleevec,HMG-CoA reductase inhibitors,1
benzodiazepines,dihydropyridine calcium channel blockers,0
benzodiazepines,HMG-CoA reductase inhibitors,0
dihydropyridine calcium channel blockers,HMG-CoA reductase inhibitors,0
acetaminophen,Gleevec,1
FOSCAVIR,pentamidine,1
foscarnet,FOSCAVIR,0
foscarnet,amphotericin B,0
FOSCAVIR,aminoglycosides,1
FOSCAVIR,amphotericin B,1
Ganciclovir,foscarnet,0
foscarnet,ganciclovir,0
COLAZAL,antibiotics,0
COLAZAL,mesalamine,0
antibiotics,mesalamine,0
ergotamine,naratriptan,1
ergot-type medications,naratriptan,1
dihydroergotamine,naratriptan,1
methysergide,naratriptan,1
naratriptan,5-HT1 agonists,1
Selective serotonin reuptake inhibitors,SSRIs,0
Selective serotonin reuptake inhibitors,fluoxetine,0
Selective serotonin reuptake inhibitors,fluvoxamine,0
Selective serotonin reuptake inhibitors,paroxetine,0
Selective serotonin reuptake inhibitors,sertraline,0
naratriptan,SSRI,1
Cimetidine,TIKOSYN,1
Cimetidine,dofetilide,1
TIKOSYN,dofetilide,0
TIKOSYN,anti-ulcer,0
TIKOSYN,omeprazole,0
TIKOSYN,ranitidine,0
TIKOSYN,antacids,0
TIKOSYN,aluminum hydroxide,0
TIKOSYN,magnesium hydroxide,0
TIKOSYN,cimetidine,1
TIKOSYN,TIKOSYN,0
anti-ulcer,omeprazole,0
anti-ulcer,ranitidine,0
anti-ulcer,antacids,0
anti-ulcer,aluminum hydroxide,0
anti-ulcer,magnesium hydroxide,0
anti-ulcer,cimetidine,0
anti-ulcer,TIKOSYN,0
omeprazole,ranitidine,0
omeprazole,antacids,0
omeprazole,aluminum hydroxide,0
omeprazole,magnesium hydroxide,0
omeprazole,cimetidine,0
omeprazole,TIKOSYN,0
ranitidine,antacids,0
ranitidine,aluminum hydroxide,0
ranitidine,magnesium hydroxide,0
ranitidine,TIKOSYN,0
antacids,aluminum hydroxide,0
antacids,magnesium hydroxide,0
antacids,cimetidine,0
antacids,TIKOSYN,0
aluminum hydroxide,cimetidine,0
aluminum hydroxide,TIKOSYN,0
magnesium hydroxide,cimetidine,0
magnesium hydroxide,TIKOSYN,0
cimetidine,TIKOSYN,0
TIKOSYN,verapamil,1
verapamil,dofetilide,1
dofetilide,dofetilide,0
Ketoconazole,TIKOSYN,1
Ketoconazole,dofetilide,0
Trimethoprim,Sulfamethoxazole,0
Trimethoprim,trimethoprim,0
Trimethoprim,sulfamethoxazole,0
Sulfamethoxazole,trimethoprim,0
Sulfamethoxazole,sulfamethoxazole,0
Hydrochlorothiazide,HCTZ,0
Hydrochlorothiazide,Triamterene,0
Hydrochlorothiazide,triamterene,0
HCTZ,Triamterene,0
HCTZ,HCTZ,0
HCTZ,triamterene,0
Triamterene,HCTZ,0
Triamterene,triamterene,0
HCTZ,TIKOSYN,0
HCTZ,diuretic,0
triamterene,TIKOSYN,0
TIKOSYN,diuretic,0
HCTZ,dofetilide,1
TIKOSYN,diuretics,0
diuretics,diuretics,0
potassium depleting diuretics,TIKOSYN,0
triamterene,metformin,0
triamterene,dofetilide,1
metformin,amiloride,0
metformin,dofetilide,1
amiloride,dofetilide,1
macrolide antibiotics,azole antifungal agents,0
macrolide antibiotics,protease inhibitors,0
macrolide antibiotics,serotonin reuptake inhibitors,0
macrolide antibiotics,amiodarone,0
macrolide antibiotics,cannabinoids,0
macrolide antibiotics,diltiazem,0
macrolide antibiotics,nefazadone,0
macrolide antibiotics,norfloxacin,0
macrolide antibiotics,quinine,0
macrolide antibiotics,zafirlukast,0
macrolide antibiotics,TIKOSYN,1
macrolide antibiotics,dofetilide,0
azole antifungal agents,protease inhibitors,0
azole antifungal agents,serotonin reuptake inhibitors,0
azole antifungal agents,amiodarone,0
azole antifungal agents,cannabinoids,0
azole antifungal agents,diltiazem,0
azole antifungal agents,nefazadone,0
azole antifungal agents,norfloxacin,0
azole antifungal agents,quinine,0
azole antifungal agents,zafirlukast,0
azole antifungal agents,TIKOSYN,1
azole antifungal agents,dofetilide,0
protease inhibitors,serotonin reuptake inhibitors,0
protease inhibitors,amiodarone,0
protease inhibitors,cannabinoids,0
protease inhibitors,diltiazem,0
protease inhibitors,nefazadone,0
protease inhibitors,norfloxacin,0
protease inhibitors,zafirlukast,0
protease inhibitors,TIKOSYN,1
protease inhibitors,dofetilide,0
serotonin reuptake inhibitors,amiodarone,0
serotonin reuptake inhibitors,cannabinoids,0
serotonin reuptake inhibitors,diltiazem,0
serotonin reuptake inhibitors,nefazadone,0
serotonin reuptake inhibitors,norfloxacin,0
serotonin reuptake inhibitors,quinine,0
serotonin reuptake inhibitors,zafirlukast,0
serotonin reuptake inhibitors,TIKOSYN,1
serotonin reuptake inhibitors,dofetilide,0
amiodarone,cannabinoids,0
amiodarone,diltiazem,0
amiodarone,nefazadone,0
amiodarone,norfloxacin,0
amiodarone,zafirlukast,0
amiodarone,TIKOSYN,1
amiodarone,dofetilide,0
cannabinoids,diltiazem,0
cannabinoids,nefazadone,0
cannabinoids,norfloxacin,0
cannabinoids,quinine,0
cannabinoids,zafirlukast,0
cannabinoids,TIKOSYN,1
cannabinoids,dofetilide,0
diltiazem,nefazadone,0
diltiazem,norfloxacin,0
diltiazem,zafirlukast,0
diltiazem,TIKOSYN,1
diltiazem,dofetilide,0
nefazadone,norfloxacin,0
nefazadone,quinine,0
nefazadone,zafirlukast,0
nefazadone,TIKOSYN,1
nefazadone,dofetilide,0
norfloxacin,quinine,0
norfloxacin,zafirlukast,0
norfloxacin,TIKOSYN,1
norfloxacin,dofetilide,0
quinine,zafirlukast,0
quinine,TIKOSYN,1
quinine,dofetilide,0
zafirlukast,TIKOSYN,1
zafirlukast,dofetilide,0
Digoxin,TIKOSYN,0
TIKOSYN,digoxin,0
digoxin,dofetilide,1
amlodipine,phenytoin,0
amlodipine,glyburide,0
amlodipine,ranitidine,0
amlodipine,omeprazole,0
amlodipine,estrogens,0
amlodipine,medroxyprogesterone,0
amlodipine,antacid,0
amlodipine,aluminum hydroxide,0
amlodipine,magnesium hydroxide,0
amlodipine,theophylline,0
amlodipine,TIKOSYN,0
phenytoin,glyburide,0
phenytoin,omeprazole,0
phenytoin,medroxyprogesterone,0
phenytoin,antacid,0
phenytoin,aluminum hydroxide,0
phenytoin,magnesium hydroxide,0
phenytoin,TIKOSYN,0
glyburide,ranitidine,0
glyburide,omeprazole,0
glyburide,estrogens,0
glyburide,medroxyprogesterone,0
glyburide,antacid,0
glyburide,aluminum hydroxide,0
glyburide,magnesium hydroxide,0
glyburide,theophylline,0
glyburide,TIKOSYN,0
ranitidine,estrogens,0
ranitidine,medroxyprogesterone,0
ranitidine,antacid,0
ranitidine,theophylline,0
omeprazole,estrogens,0
omeprazole,medroxyprogesterone,0
omeprazole,antacid,0
omeprazole,theophylline,0
estrogens,medroxyprogesterone,0
estrogens,antacid,0
estrogens,aluminum hydroxide,0
estrogens,magnesium hydroxide,0
estrogens,TIKOSYN,0
medroxyprogesterone,antacid,0
medroxyprogesterone,aluminum hydroxide,0
medroxyprogesterone,magnesium hydroxide,0
medroxyprogesterone,theophylline,0
medroxyprogesterone,TIKOSYN,0
antacid,theophylline,0
antacid,TIKOSYN,0
aluminum hydroxide,theophylline,0
magnesium hydroxide,theophylline,0
theophylline,TIKOSYN,0
TIKOSYN,warfarin,0
TIKOSYN,propranolol,0
TIKOSYN,phenytoin,0
TIKOSYN,theophylline,0
TIKOSYN,contraceptives,0
propranolol,contraceptives,0
theophylline,contraceptives,0
ACE inhibitors,anticoagulants,0
ACE inhibitors,calcium channel blockers,0
ACE inhibitors,beta blockers,0
ACE inhibitors,cardiac glycosides,0
ACE inhibitors,nitrates,0
ACE inhibitors,sulphonylureas,0
ACE inhibitors,loop diuretics,0
ACE inhibitors,potassium sparing diuretics,0
ACE inhibitors,thiazide diuretics,0
anticoagulants,beta blockers,0
anticoagulants,nitrates,0
anticoagulants,sulphonylureas,0
anticoagulants,loop diuretics,0
anticoagulants,potassium sparing diuretics,0
anticoagulants,thiazide diuretics,0
calcium channel blockers,beta blockers,0
calcium channel blockers,cardiac glycosides,0
calcium channel blockers,nitrates,1
calcium channel blockers,sulphonylureas,0
calcium channel blockers,loop diuretics,0
calcium channel blockers,potassium sparing diuretics,0
calcium channel blockers,thiazide diuretics,0
beta blockers,cardiac glycosides,0
beta blockers,nitrates,0
beta blockers,sulphonylureas,0
beta blockers,loop diuretics,0
beta blockers,potassium sparing diuretics,0
beta blockers,thiazide diuretics,0
cardiac glycosides,nitrates,0
cardiac glycosides,sulphonylureas,0
